sample_prefix	pop
17a_10	17a
17a_14	17a
17a_16	17a
17a_18	17a
17a_20	17a
17a_21	17a
17a_22	17a
17a_26	17a
17a_27	17a
17a_28	17a
17a_29	17a
17a_31	17a
17a_32	17a
17a_35	17a
17a_36	17a
17a_38	17a
17a_39	17a
17a_40	17a
17a_41	17a
17a_45	17a
17a_47	17a
17a_50	17a
17b_01	17b
17b_02	17b
17b_03	17b
17b_04	17b
17b_05	17b
17b_06	17b
17b_07	17b
17b_08	17b
17b_09	17b
17b_10	17b
17b_11	17b
17b_14	17b
17b_20	17b
17b_24	17b
17b_25	17b
17b_26	17b
17b_32	17b
17b_37	17b
17b_41	17b
17b_43	17b
17b_44	17b
18b_02	18b
18b_04	18b
18b_06	18b
18b_07	18b
18b_09	18b
18b_11	18b
18b_12	18b
18b_13	18b
18b_16	18b
18b_17	18b
18b_18	18b
18b_19	18b
18b_20	18b
18b_22	18b
18b_24	18b
18b_30	18b
18b_31	18b
18b_35	18b
18b_37	18b
18b_42	18b
18b_45	18b
18b_46	18b
18b_47	18b
18b_48	18b
18b_49	18b
18c_100	18c
18c_55	18c
18c_56	18c
18c_60	18c
18c_63	18c
18c_66	18c
18c_68	18c
18c_70	18c
18c_71	18c
18c_73	18c
18c_78	18c
18c_79	18c
18c_81	18c
18c_84	18c
18c_86	18c
18c_87	18c
18c_88	18c
18c_89	18c
18c_91	18c
18c_94	18c
18c_95	18c
18c_97	18c
18c_98	18c
19b_01	19b
19b_02	19b
19b_03	19b
19b_06	19b
19b_09	19b
19b_13	19b
19b_16	19b
19b_19	19b
19b_21	19b
19b_25	19b
19b_26	19b
19b_30	19b
19b_32	19b
19b_33	19b
19b_34	19b
19b_35	19b
19b_36	19b
19b_39	19b
19b_40	19b
19b_43	19b
19b_46	19b
19b_47	19b
19b_50	19b
19cd_02	19cd
19cd_04	19cd
19cd_05	19cd
19cd_07	19cd
19cd_09	19cd
19cd_10	19cd
19cd_11	19cd
19cd_12	19cd
19cd_13	19cd
19cd_21	19cd
19cd_25	19cd
19cd_26	19cd
19cd_27	19cd
19cd_28	19cd
19cd_30	19cd
19cd_31	19cd
19cd_34	19cd
19cd_35	19cd
19cd_38	19cd
19cd_39	19cd
19cd_40	19cd
19cd_41	19cd
19cd_45	19cd
19cd_48	19cd
19cd_50	19cd
23p_45	23p
23p_46	23p
23p_47	23p
23p_57	23p
23p_60	23p
23p_61	23p
23p_62	23p
23p_65	23p
23p_66	23p
23p_69	23p
23p_70	23p
23p_75	23p
23p_76	23p
23p_78	23p
23p_80	23p
23p_81	23p
23p_82	23p
